LandUse,Acreage,TaxDistrict,LandValue,BuildingValue,FinishedArea,FoundationType,YearBuilt,Grade,Bedrooms,FullBath,HalfBath,Class
DUPLEX,0.15,URBAN SERVICES DISTRICT,20000,76700,2000,SLAB,1988,D   ,6,4,0,A
DUPLEX,0.44,GENERAL SERVICES DISTRICT,20000,131800,2558,CRAWL,1955,C   ,6,4,0,A
DUPLEX,0.17,URBAN SERVICES DISTRICT,20000,93500,1984,CRAWL,1967,C   ,6,2,0,A
TRIPLEX,0.18,URBAN SERVICES DISTRICT,10000,41800,1873,CRAWL,1965,C   ,6,3,0,A
TRIPLEX,0.18,URBAN SERVICES DISTRICT,10000,41800,1873,CRAWL,1965,C   ,6,3,0,A
SINGLE FAMILY,0.14,URBAN SERVICES DISTRICT,13000,80100,2091,PT BSMT,1920,C   ,5,1,0,A
DUPLEX,0.18,URBAN SERVICES DISTRICT,27000,9400,3410,CRAWL,1920,C   ,5,3,0,A
VACANT RES LAND,0.29,URBAN SERVICES DISTRICT,11000,270700,3533.65002,CRAWL,2015,B   ,5,3,1,A
SINGLE FAMILY,0.18,URBAN SERVICES DISTRICT,17000,60900,2000,FULL BSMT,1975,C   ,5,2,0,A
VACANT RES LAND,0.41,URBAN SERVICES DISTRICT,35500,201300,1960,CRAWL,2013,C   ,4,2,1,A
DUPLEX,0.17,URBAN SERVICES DISTRICT,11000,43200,1544,CRAWL,1955,D   ,4,2,0,A
DUPLEX,0.29,GENERAL SERVICES DISTRICT,18000,54800,1248,CRAWL,1963,C   ,4,2,0,A
DUPLEX,0.13,URBAN SERVICES DISTRICT,10000,29900,1192,CRAWL,1965,C   ,4,2,0,A
DUPLEX,0.23,GENERAL SERVICES DISTRICT,12000,42000,1537,CRAWL,1985,C   ,4,2,0,A
SINGLE FAMILY,0.45,URBAN SERVICES DISTRICT,11000,182300,2981,PT BSMT,1930,C   ,4,3,1,A
DUPLEX,0.2,GENERAL SERVICES DISTRICT,25000,76800,1458,SLAB,2000,D   ,4,2,0,A
DUPLEX,0.61,URBAN SERVICES DISTRICT,21000,48900,1564,CRAWL,1955,C   ,4,2,0,A
DUPLEX,0.23,GENERAL SERVICES DISTRICT,12000,41600,1519,CRAWL,1985,C   ,4,2,0,A
VACANT RES LAND,0.27,GENERAL SERVICES DISTRICT,16000,111500,1185,CRAWL,2014,C   ,4,2,0,A
DUPLEX,0.23,URBAN SERVICES DISTRICT,15000,60600,1511,CRAWL,1981,C   ,4,2,0,A
DUPLEX,0.22,URBAN SERVICES DISTRICT,31000,96300,1600,CRAWL,1969,C   ,4,2,0,A
SINGLE FAMILY,0.53,URBAN SERVICES DISTRICT,18000,105500,1638,FULL BSMT,1945,C   ,4,1,0,A
DUPLEX,0.29,GENERAL SERVICES DISTRICT,12000,42300,1566,CRAWL,1985,C   ,4,2,0,A
DUPLEX,0.18,URBAN SERVICES DISTRICT,13000,52800,1431,CRAWL,1985,D   ,4,2,0,A
SINGLE FAMILY,0.51,CITY OF GOODLETTSVILLE,28800,91800,1725,CRAWL,1966,C   ,4,2,0,A
DUPLEX,0.84,GENERAL SERVICES DISTRICT,18800,86100,2235,CRAWL,1979,C   ,4,2,0,A
DUPLEX,0.18,GENERAL SERVICES DISTRICT,22000,39000,1518,CRAWL,1983,C   ,4,2,0,A
QUADPLEX,0.21,URBAN SERVICES DISTRICT,13200,107000,2765,CRAWL,1970,D   ,8,4,0,B
QUADPLEX,0.17,URBAN SERVICES DISTRICT,13000,122500,2905,PT BSMT,1962,C   ,8,4,0,B
SINGLE FAMILY,0.29,URBAN SERVICES DISTRICT,21500,107800,1825,SLAB,1978,C   ,7,2,0,B
TRIPLEX,0.17,URBAN SERVICES DISTRICT,11000,93700,2340,SLAB,1945,C   ,7,3,0,B
SINGLE FAMILY,1.19,URBAN SERVICES DISTRICT,22700,127600,2822,PT BSMT,1959,C   ,6,4,0,B
SINGLE FAMILY,0.58,URBAN SERVICES DISTRICT,34000,240500,3504,FULL BSMT,1960,C   ,6,3,1,B
TRIPLEX,0.2,URBAN SERVICES DISTRICT,20000,96400,2045,CRAWL,1968,C   ,6,3,0,B
TRIPLEX,0.17,URBAN SERVICES DISTRICT,11000,65800,2025,CRAWL,1967,D   ,6,3,0,B
DUPLEX,0.17,URBAN SERVICES DISTRICT,65000,64600,2000,SLAB,1988,C   ,6,4,0,B
ZERO LOT LINE,0.28,URBAN SERVICES DISTRICT,21000,117500,2552,CRAWL,1987,C   ,6,4,0,B
TRIPLEX,0.2,URBAN SERVICES DISTRICT,12000,112500,2088,CRAWL,1972,D   ,6,3,0,B
TRIPLEX,0.19,URBAN SERVICES DISTRICT,13000,59600,2120,CRAWL,1960,D   ,6,3,0,B
