Sale_Price,ZIP,BEDS,BATHS,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,HOA/MONTH,LATITUDE,LONGITUDE,PROPERTY_TYPE_is_Condo/Co-Op,PROPERTY_TYPE_is_Multi-Family_2-4_Unit,PROPERTY_TYPE_is_Multi-Family_5+_Unit,PROPERTY_TYPE_is_Single_Family_Residential,PROPERTY_TYPE_is_Vacant_Land,CITY_is_Ada,CITY_is_Allendale,CITY_is_Ada,CITY_is_Allendale,CITY_is_Allendale_Charter_Township,CITY_is_Alpine_Twp,CITY_is_Byron_Center,CITY_is_Battle_Creek,CITY_is_Belmont,CITY_is_Byron_Center,CITY_is_Byron_Twp,CITY_is_Caledonia,CITY_is_Comstock_Park,CITY_is_Conklin,CITY_is_Coopersville,CITY_is_East_Grand_Rapids,CITY_is_Grand_Rapids,CITY_is_Grandville,CITY_is_Georgetown,CITY_is_Georgetown_Township,CITY_is_Georgetown_Twsp,CITY_is_Grand_Rapids,CITY_is_Grand_Rapids_Twp,CITY_is_Grandville,CITY_is_Hudsonville,CITY_is_Jenison,CITY_is_Jenison,CITY_is_Kentwood,CITY_is_Lowell,CITY_is_Marne,CITY_is_Plainfield_Charter_Township,CITY_is_Rockford,CITY_is_Saginaw,CITY_is_Sparta,CITY_is_Walker,CITY_is_Wyoming,STATE_is_Mi
55000,49546,-1,-1,-1,-1,-1,-1,-1,42.9276041,-85.5223443,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
539900,49301,5,4.5,5200,87200,1981,282,-1,42.977973,-85.461826,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170000,49505,-1,2.5,1763,11674,1967,-1,-1,42.9831069,-85.608241,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
257142,49509,3,2.5,2307,-1,2015,203,185,42.870968,-85.6871672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
67900,49507,4,1,1100,4880,1900,23,-1,42.942926,-85.657065,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70000,49503,2,1,930,8300,1890,134,-1,42.984359,-85.6627865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
633000,49525,-1,-1,-1,-1,-1,-1,-1,43.008476,-85.553108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118000,49548,-1,-1,-1,6534,-1,-1,-1,42.873781,-85.646286,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177000,49508,4,2.5,1600,13503,1992,191,-1,42.872547,-85.60217,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
165000,49418,3,2,2236,-1,1987,255,169,42.892728,-85.744949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
