geocoded_address,geocoded_city,geocoded_state,geocoded_zipcode,geocoded_latitude,geocoded_longitude
0,1208 3Rd Ave S,Nashville,TN,37210,-86.76534,36.144863
1,1802 Stewart Pl,Nashville,TN,37203,-86.77142,36.13507
2,2761 Rosedale Pl,Nashville,TN,37211,-86.7631,36.12412
3,224 Peachtree St,Nashville,TN,37210,-86.744026,36.120144
4,316 Lutie St,Nashville,TN,37210,-86.746864,36.117672
5,2626 Foster Ave,Nashville,TN,37210,-86.74356,36.115673
6,104 Prescott Pl,Nashville,TN,37211,-86.737076,36.11022
7,501 Morton Ave,Nashville,TN,37211,-86.74473,36.10636
8,501 Morton Ave,Nashville,TN,37211,-86.74473,36.10636
9,113 Neese Dr,Nashville,TN,37211,-86.72157,36.10718
10,184 Wheeler Ave,Nashville,TN,37211,-86.72795,36.095066
11,238 Elysian Fields Rd,Nashville,TN,37211,-86.71931,36.092224
12,3801 Eckhart Dr,Nashville,TN,37211,-86.71338,36.091335
13,4832 Corning Dr,Nashville,TN,37211,-86.732315,36.083164
14,285 Paragon Mills Rd,Nashville,TN,37211,-86.70974,36.08726
15,259 Eisenhower Dr,Nashville,TN,37211,-86.70824,36.08431
16,5100 Overton Rd,Nashville,TN,37220,-86.76187,36.065235
17,370 Wallace Rd,Nashville,TN,37211,-86.722305,36.078472
18,109 Northcrest Commons Cir,Nashville,TN,37211,-86.71989,36.06694
19,281 Comroe Rd,Nashville,TN,37211,-86.707405,36.081062
20,3922 Creekside Dr,Nashville,TN,37211,-86.70024,36.067505
21,4907 Packard Dr,Nashville,TN,37211,-86.70012,36.063297
22,3805 Creekside Dr,Nashville,TN,37211,-86.69472,36.064705
23,225 Clipper Ct,Nashville,TN,37211,-86.68786,36.061684
24,5316 Overton Rd,Nashville,TN,37220,-86.762886,36.057102
25,5510 Hearthstone Ln,Brentwood,TN,37027,-86.768394,36.044598
26,6144 Brentwood Chase Dr,Brentwood,TN,37027,-86.75852,36.04105
27,641 Mcmurray Dr,Nashville,TN,37211,-86.73454,36.055157
28,5229 Cardiff Dr,Nashville,TN,37211,-86.734085,36.046844
29,4717 Chepstow Dr,Nashville,TN,37211,-86.729485,36.043663
30,302 Huntington Ridge Dr,Nashville,TN,37211,-86.72511,36.048298
