PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,LATITUDE,LONGITUDE,PRICE
1,1,1,1,49401,,,,,,,,42.9753306,-85.9939525,370000
2,2,1,1,49401,,,,71003,,,,42.993808,-85.93555,15000
2,3,2,1,49401,3,3,2253,32670,2014,161,,42.9672118,-85.9141968,237900
2,4,2,1,49401,4,2.5,2032,13068,2016,38,38,42.966059,-85.978345,276900
1,5,2,1,49401,2,1.5,1505,,2016,10,190,42.975259,-85.921332,205000
2,2,1,1,49401,,,,217800,,,,42.9976773,-85.945005,89900
2,6,2,1,49401,2,2,1380,6506,2016,155,8,42.975209,-85.920925,233304
2,6,2,1,49401,3,2,1354,7501,2016,266,100,42.981879,-85.932772,205000
3,7,2,1,49401,,,,321908,,212,,42.965549,-85.947226,1700000
1,8,2,1,49401,2,1.5,1488,,2016,196,175,42.975209,-85.920925,278900
2,9,2,1,49401,3,2,1456,181645,1994,190,,42.996049,-85.942468,183500
2,10,2,1,49401,4,2.5,1804,251776,1988,171,,43.003032,-85.962284,255000
1,11,2,1,49401,3,2.5,2347,,2016,205,169,42.976224,-85.990696,286900
2,12,2,1,49401,4,2.5,2393,11672,2016,253,50,42.976771,-85.883922,255900
2,6,2,1,49401,3,1.5,1400,7501,2015,329,8,42.975209,-85.920925,189900
2,6,2,1,49401,4,2.5,1809,7865,2016,39,8,42.981896,-85.932576,227000
1,13,1,1,49401,,,,,,,,42.9819486,-85.9317572,189900
1,14,1,1,49401,,,,,,,,42.9819486,-85.9317572,206930
1,15,1,1,49401,,,,,,,,42.9819486,-85.9317572,235000
2,16,2,1,49401,3,2,1274,10401,2016,199,,42.959789,-85.91701,199900
2,17,2,1,49401,3,2,1359,13808,2016,7,,42.959316,-85.915645,210000
2,18,2,1,49401,3,1,1232,34412,1960,359,,42.9741039,-85.933566,140000
2,19,2,1,49401,4,2.5,2032,13225,2016,253,38,42.971278,-85.972156,256900
2,17,2,1,49401,3,2.5,1528,13068,2016,294,,42.959508,-85.914935,210750
2,16,2,1,49401,3,1,1235,11610,2016,213,,42.960323,-85.917073,184000
1,20,2,1,49401,2,1.5,1268,,2016,63,230,42.968352,-85.967902,197000
2,2,1,1,49401,,,,108900,,,,42.96813,-85.9532739,166000
2,21,1,1,49401,,,,,,,,42.990685,-85.904538,115100
1,22,1,1,49401,,,,,,,,42.975429,-85.938564,15900
2,23,2,1,49401,3,2,1426,30492,2001,168,,42.9636494,-85.9314548,198000
2,24,1,1,49401,,,,,,,,42.97491,-85.9512,132000
2,25,2,1,49401,4,2,1928,10018,2013,294,100,42.980904,-85.931304,185250
2,26,1,1,49401,,,,,,,,42.965461,-85.957457,179200
1,27,1,1,49401,,,,,,,,42.966176,-85.9411609,162900
2,28,2,1,49401,3,1.5,1940,15160,2005,266,,42.965113,-85.919372,203000
2,29,1,1,49401,,,,,,,,42.973842,-85.931488,138000
1,30,2,1,49401,2,2,1418,,1984,123,200,42.97535,-85.884286,115000
2,31,2,1,49401,5,2,2404,22542,1989,39,,42.963037,-85.956684,224500
1,32,2,1,49401,,,,,,,,42.973358,-85.964884,206000
2,33,2,1,49401,3,2,1776,,2008,60,23,42.9663174,-85.9393834,175000
2,9,1,1,49401,,,,,,,,42.995857,-85.976629,430000
1,34,1,1,49401,,,,,,,,42.965777,-85.939755,154000
2,35,2,1,49401,4,3,3018,21780,2003,361,21,42.992813,-85.961215,277000
2,18,2,1,49401,4,3,2945,26136,1939,164,,42.9684,-85.954406,135000
2,36,2,1,49401,4,2.5,2214,143312,1965,256,,42.965343,-85.940371,322000
2,37,2,1,49401,4,2.5,2547,17748,2016,102,38,42.970453,-85.973547,315000
1,38,1,1,49401,,,,,,,,42.974907,-85.9385439,165000
2,39,2,1,49401,3,2,1400,12502,2016,164,8,42.973355,-85.964308,225000
2,40,2,1,49401,2,2,1192,7840,2015,360,,42.966678,-85.912053,193000
2,29,2,1,49401,4,2.5,2181,16552,1993,168,,42.976163,-85.930075,185000
2,2,2,1,49401,3,2,1911,16552,1895,130,,42.9759677,-85.9544079,112000
1,41,1,1,49401,,,,,,,,42.974543,-85.900197,134900
2,42,2,1,49401,4,3,1958,10086,2013,2,15,42.9671189,-85.912055,199900
2,12,2,1,49401,3,2.5,2393,11850,2016,112,,42.976971,-85.883464,274935
2,43,1,1,49401,,,,,,,,42.982232,-85.887911,6000
2,37,2,1,49401,4,2.5,2038,13500,2013,91,33,42.968437,-85.973407,282000
2,44,1,1,49401,,,,,,,,42.997359,-86.015033,86465
2,45,2,1,49401,3,2,1768,12196,2003,239,8,42.980207,-85.93205,178000
2,33,2,1,49401,2,1,1090,8250,2005,260,23,42.965758,-85.941577,162900
1,20,2,1,49401,2,1.5,1412,,2014,340,235,42.968469,-85.967901,210000
2,39,2,1,49401,3,2,1508,13439,2016,81,,42.974949,-85.96216,234500
2,39,2,1,49401,4,2.5,1992,10549,2016,46,100,42.974741,-85.962184,245600
1,46,1,1,49401,,,,,,,,42.980308,-85.936584,241616
2,9,2,1,49401,3,1.5,1704,43560,1998,169,,42.994311,-86.01395,185000
2,2,2,1,49401,4,2.5,1715,20998,1994,213,,42.968266,-85.934554,189750
2,37,2,1,49401,4,2.5,2446,13604,2016,59,39,42.969422,-85.973471,360000
1,47,1,1,49401,,,,,,,,42.975141,-85.938152,135000
1,20,2,1,49401,2,1.5,1268,,2015,151,235,42.9690338,-85.9674313,253950
2,48,2,1,49401,3,2,1548,9306,2016,184,8,42.973977,-85.964249,217000
2,49,1,1,49401,,,,,,,,42.973081,-85.932311,110000
2,39,2,1,49401,3,2.5,2086,9710,2016,109,100,42.973887,-85.964503,248000
2,2,1,1,49401,,,,,,,,42.996196,-85.934388,200000
2,50,2,1,49401,3,2,1465,12393,2015,364,100,42.9754652,-85.9630455,222000
2,3,2,1,49401,2,1,1001,32400,1970,66,,42.989925,-86.014873,120000
2,51,2,1,49401,5,4,3528,26633,2005,253,,42.965181,-85.967696,235000
2,52,2,1,49401,5,3.5,4369,14506,2006,309,,42.965885,-85.968282,290000
2,53,2,1,49401,4,2,2009,21387,2004,261,,42.981299,-85.930086,191000
1,54,1,1,49401,,,,,,,,42.9820149,-86.009576,252500
2,55,2,1,49401,4,2.5,2574,10454,2000,189,,42.969038,-85.960297,198000
1,56,1,1,49401,,,,,,,,42.976533,-85.938552,135000
2,37,2,1,49401,4,2.5,2040,18203,2016,158,38,42.967699,-85.973386,258900
2,57,1,1,49401,,,,217800,,,,42.987147,-85.995765,75000
2,58,1,1,49401,,,,,,,,42.982323,-85.894065,5000
2,55,1,1,49401,,,,,,,,42.965084,-85.960903,177389
2,59,2,1,49401,6,3.5,3214,19593,2005,232,29,42.991757,-85.959158,297000
1,20,2,1,49401,2,1.5,1484,,2016,85,230,42.9684,-85.967902,223500
2,33,2,1,49401,2,1.5,1584,6534,2005,198,35,42.965814,-85.9404291,154900
2,2,1,1,49401,,,,239580,,,,42.989763,-85.933088,210000
1,60,2,1,49401,2,1,1792,,1982,94,165,42.9744909,-85.9001294,136900
2,28,1,1,49401,,,,,,,,42.967561,-85.921971,196900
2,9,1,1,49401,,,,,,,,42.993707,-85.95077,248000
1,61,2,1,49401,2,1.5,1260,,2015,247,175,42.9806,-85.936258,214900
1,22,1,1,49401,,,,,,,,42.9765469,-85.93784,122000
2,2,2,1,49401,4,3.5,2989,859438,2005,149,,42.978399,-85.996625,560000
1,62,1,1,49401,,,,,,,,42.993085,-85.961313,280000
2,63,2,1,49401,4,3.5,4295,96703,2000,108,22,42.9913,-85.9788729,425000
1,64,1,1,49401,,,,,,,,42.9754338,-85.9641894,245500
2,37,2,1,49401,4,2.5,2547,14805,2016,354,38,42.968934,-85.973423,309000
2,37,2,1,49401,4,2.5,1872,14850,2016,84,39,42.967947,-85.973391,245000
2,65,2,1,49401,5,4,4586,39204,1968,233,,42.961459,-85.9560599,250600
1,61,2,1,49401,2,1.5,1488,,2015,214,175,42.980569,-85.936264,252190
2,66,2,1,49401,6,3.5,3712,135036,1964,268,,42.994916,-86.020265,212000
2,25,2,1,49401,4,2,1750,8220,2007,228,8,42.981415,-85.931322,195000
2,2,1,1,49401,,,,48352,,,,42.97646,-85.994643,219900
2,67,2,1,49401,4,2.5,2098,21780,2000,140,,42.965116,-85.961985,193250
2,68,2,1,49401,3,2.5,1960,8712,2016,66,19,42.9669049,-85.913228,199900
2,69,2,1,49401,4,3,2229,13068,2006,304,,42.964554,-85.917903,206000
2,2,2,1,49401,4,3.5,4723,212572,2006,108,,42.998651,-85.933386,490000
2,70,2,1,49401,2,2,1224,6760,2015,191,,42.967265,-85.912825,185000
1,71,1,1,49401,,,,,,,,42.993385,-85.960552,248000
4,72,2,1,49401,,,,,,,,42.973892,-85.96479,239900
2,68,2,1,49401,3,2.5,1560,6760,2016,114,15,42.966907,-85.913012,200000
2,25,2,1,49401,3,2.5,2009,253,2015,357,8,42.981236,-85.932009,220000
2,39,2,1,49401,3,2,1360,9750,2015,280,8,42.973314,-85.965158,220900
2,73,1,1,49401,,,,,,,,42.964459,-85.937288,299000
1,61,2,1,49401,1,1.5,1230,,2015,266,175,42.98037,-85.936584,189000
5,74,2,1,49401,6,2,,,1973,324,,42.971323,-85.931517,165000
2,75,1,1,49401,,,,,,,,42.970337,-85.946474,160000
5,9,2,1,49401,3,3,,47044,1927,63,,42.993918,-85.955314,147000
2,16,2,1,49401,3,2,1274,11340,2015,361,,42.960332,-85.916118,186900
4,2,1,1,49401,,,,,,,,42.9799859,-85.9351159,226000
