BEDROOMS,BATHROOMS,SQFT_LIVING,SQFT_LOT,FLOORS,WATERFRONT,VIEW,CONDITION,GRADE,SQFT_ABOVE,SQFT_BASEMENT,YR_BUILT,YR_RENOVATED,ZIPCODE,LAT,LONG,SQFT_LIVING15,SQFT_LOT15,PRICE
0.0909091,0.133333,0.123783,0.00310751,0,0,0,0.5,0.545455,0.164207,0,0.478261,0,0.893939,0.571499,0.217603,0.206768,0.00574235,0.2219
0.0909091,0.3,0.317107,0.00407187,0.4,0,0,0.5,0.545455,0.346863,0.147059,0.443478,0.988089,0.626263,0.908961,0.166111,0.283674,0.00802712,0.538
0.0606061,0.133333,0.0667594,0.00574253,0,0,0,0.5,0.454545,0.0885609,0,0.286957,0,0.136364,0.936144,0.237539,0.509998,0.00851302,0.18
0.121212,0.4,0.232267,0.00271377,0,0,0,1,0.545455,0.140221,0.334559,0.565217,0,0.681818,0.586943,0.104651,0.211162,0.0049957,0.604
0.0909091,0.266667,0.193324,0.00457949,0,0,0,0.5,0.636364,0.256458,0,0.756522,0,0.368687,0.741353,0.393689,0.307844,0.00787089,0.51
0.0909091,0.3,0.198192,0.00381564,0.4,0,0,0.5,0.545455,0.262915,0,0.826087,0,0.010101,0.247388,0.159464,0.404087,0.00708518,0.2575
0.0909091,0.2,0.107093,0.00556747,0,0,0,0.5,0.545455,0.142066,0,0.547826,0,0.99495,0.407915,0.169432,0.274885,0.0104072,0.29185
0.0909091,0.133333,0.207232,0.00420998,0,0,0,0.5,0.545455,0.140221,0.268382,0.521739,0,0.732323,0.573266,0.151163,0.30345,0.0085716,0.2295
0.0909091,0.333333,0.222531,0.00365875,0.4,0,0,0.5,0.545455,0.295203,0,0.895652,0,0.186869,0.341807,0.405317,0.437486,0.00794786,0.323
0.0909091,0.333333,0.454798,0.00561896,0,0,0,0.5,0.636364,0.289668,0.625,0.565217,0,0.030303,0.715459,0.310633,0.397935,0.00950435,0.6625
0.0606061,0.133333,0.121001,0.00331952,0,0,0,0.75,0.545455,0.105166,0.110294,0.365217,0,0.575758,0.859095,0.188537,0.20457,0.0061444,0.468
0.0909091,0.133333,0.158554,0.0117401,0.2,0,0,0.75,0.545455,0.210332,0,0.234783,0,0.136364,0.964933,0.240866,0.30345,0.0138372,0.31
0.0909091,0.233333,0.150209,0.00554869,0,0,0,0.75,0.545455,0.199262,0,0.669565,0,0.368687,0.734763,0.393689,0.21336,0.0109781,0.4
0.151515,0.266667,0.211405,0.00262291,0.2,0,0,0.5,0.545455,0.280443,0,0,0,0.535354,0.826924,0.103821,0.211162,0.00482339,0.53
0.121212,0.4,0.369958,0.00271377,0.4,0,0.75,0.5,0.727273,0.311808,0.356618,0.686957,0,0.631313,0.668329,0.1196,0.382553,0.003847,0.65
0.0909091,0.266667,0.222531,0.00818978,0.4,0,0,0.5,0.545455,0.295203,0,0.817391,0,0.0909091,0.919736,0.462626,0.32762,0.0153547,0.395
0.121212,0.133333,0.182197,0.00228974,0.2,0,0,0.75,0.545455,0.241697,0,0.13913,0,0.515152,0.818561,0.146176,0.266095,0.00419161,0.485
0.0606061,0.133333,0.126565,0.00565167,0,0,0,0.75,0.545455,0.167897,0,0.182609,0,0.00505051,0.246099,0.256644,0.145243,0.00510482,0.189
0.0909091,0.133333,0.133519,0.00560563,0,0,0,0.75,0.545455,0.177122,0,0.6,0,0.010101,0.286958,0.176909,0.193584,0.0094182,0.23
0.121212,0.233333,0.184979,0.00270166,0,0,0,0.75,0.545455,0.105166,0.279412,0.408696,0,0.666667,0.879202,0.147836,0.219952,0.00497272,0.385
0.151515,0.333333,0.275382,0.00350125,0.4,0,0,0.5,0.636364,0.365314,0,0.826087,0,0.459596,0.27457,0.290698,0.404526,0.00729884,0.285
0.0606061,0.2,0.108484,0.00552628,0,0,0,0.5,0.545455,0.143911,0,0.73913,0,0.146465,0.317515,0.293188,0.1804,0.0088852,0.2527
0.0909091,0.3,0.300417,0.0036224,0.4,0,0,0.75,0.636364,0.398524,0,0.73913,0,0.146465,0.350655,0.288207,0.395737,0.00713802,0.329
0.0909091,0.266667,0.197497,0.00253023,0.2,0,0,1,0.454545,0.261993,0,0.356522,0,0.00505051,0.239503,0.249997,0.138651,0.00465683,0.233
0.0909091,0.233333,0.300417,0.00131509,0.4,0,0,0.5,0.636364,0.269373,0.257353,0.130435,0,0.59596,0.77642,0.132058,0.299055,0.0033565,0.937
0.0909091,0.133333,0.154381,0.000642703,0.2,0,0,1,0.636364,0.204797,0,0.0782609,0,0.560606,0.749882,0.170262,0.321028,0.00368733,0.667
0.0909091,0.233333,0.171071,0.00354971,0,0,0,0.5,0.545455,0.0922509,0.268382,0.417391,0,0.575758,0.867139,0.178569,0.246319,0.00641434,0.438
0.121212,0.333333,0.317107,0.00403007,0.4,0,0,0.5,0.636364,0.420664,0,0.913043,0,0.257576,0.886921,0.3397,0.490222,0.00617426,0.719
0.0909091,0.333333,0.282337,0.0020959,0.4,0,0,0.5,0.636364,0.374539,0,0.895652,0,0.131313,0.616377,0.372923,0.479235,0.00382402,0.5805
0.0606061,0.2,0.125174,0.000451286,0.8,0,0,0.5,0.545455,0.166052,0,0.913043,0,0.666667,0.919258,0.134548,0.217754,0.00126931,0.28
0.121212,0.233333,0.283727,0.00271377,0.2,0,0,0.75,0.545455,0.225092,0.301471,0.252174,0,0.585859,0.846713,0.125417,0.233136,0.0049957,0.6875
0.0909091,0.133333,0.111266,0.00150227,0.2,0,0,0.75,0.636364,0.147601,0,0.252174,0,0.585859,0.857328,0.1196,0.257306,0.00508759,0.535
0.121212,0.366667,0.246175,0.00371872,0,0,0,0.5,0.545455,0.182657,0.286765,0.704348,0,0.287879,0.43703,0.300665,0.356185,0.00926886,0.3225
0.0909091,0.333333,0.279555,0.00153861,0.2,0,0,0.5,0.636364,0.225092,0.290441,0.26087,0.993548,0.575758,0.847357,0.173588,0.261701,0.00300155,0.696
0.121212,0.133333,0.190542,0.0207943,0,0,0,0,0.363636,0.118081,0.268382,0.286957,0,0.257576,0.814223,0.321424,0.386948,0.0124243,0.55
0.121212,0.266667,0.2879,0.00331952,0.4,0,0,0.75,0.636364,0.381919,0,0.0347826,0,0.535354,0.82725,0.130397,0.292463,0.00465109,0.64
0.121212,0.133333,0.129346,0.00457646,0,0,0,0.25,0.545455,0.110701,0.121324,0.6,0,0,0.286633,0.196844,0.195781,0.00821206,0.24
0.121212,0.333333,0.324061,0.00426026,0.4,0,0,0.5,0.636364,0.429889,0,0.834783,0,0.277778,0.601902,0.28156,0.488025,0.0129034,0.605
0.121212,0.333333,0.317107,0.00302876,0.4,0,0,0.5,0.727273,0.420664,0,0.869565,0,0.368687,0.737653,0.408637,0.455065,0.00576418,0.625
0.121212,0.3,0.546592,0.0143357,0,0,0,0.5,0.636364,0.426199,0.595588,0.730435,0,0.833333,0.465016,0.142855,0.441881,0.034422,0.775
0.151515,0.366667,0.459666,0.00310085,0.4,0,0,0.5,0.727273,0.609779,0,0.991304,0,0.262626,0.850732,0.417775,0.708855,0.00572972,0.86199
0.0909091,0.133333,0.178025,0.00106612,0.4,0,0,0.5,0.545455,0.236162,0,0.191304,0,0.59596,0.780764,0.128737,0.259503,0.00228477,0.685
0.0909091,0.133333,0.137691,0.00553416,0,0,0,0.75,0.454545,0.116236,0.132353,0.513043,0,0.287879,0.470649,0.285711,0.206768,0.00936995,0.309
0.0909091,0.333333,0.399166,0.00792506,0.4,0,0,0.5,0.636364,0.52952,0,0.895652,0,0.0909091,0.94644,0.450168,0.582509,0.009857,0.488
0.0909091,0.133333,0.0973574,0.00485087,0,0,0,0.5,0.454545,0.129151,0,0.573913,0,0.111111,0.242399,0.12292,0.182158,0.00940671,0.21049
0.121212,0.333333,0.278164,0.00781179,0.4,0,0,0.75,0.727273,0.369004,0,0.704348,0,0.030303,0.745538,0.305646,0.501209,0.0149722,0.785
0.0909091,0.233333,0.133519,0.00329711,0,0,0,0.75,0.545455,0.177122,0,0.46087,0,0.575758,0.842368,0.181059,0.125467,0.00511057,0.45
0.0909091,0.133333,0.125174,0.00525733,0,0,0,0.5,0.545455,0.166052,0,0.478261,0,0.742424,0.434134,0.163621,0.173808,0.0100086,0.228
0.151515,0.333333,0.397775,0.00521795,0,0,0,0.75,0.636364,0.249077,0.555147,0.573913,0,0.277778,0.542869,0.274083,0.349593,0.00974328,0.345
0.0909091,0.233333,0.155772,0.00215648,0,0,0,0.75,0.545455,0.130996,0.150735,0.434783,0,0.585859,0.844301,0.112122,0.222149,0.00393889,0.6
0.0606061,0.233333,0.235049,0.00486419,0,0,0,0.5,0.545455,0.129151,0.363971,0.704348,0,0.585859,0.87341,0.12458,0.23753,0.00699214,0.585
0.151515,0.3,0.33936,0.00331952,0.2,0,0,0.5,0.636364,0.339483,0.220588,0.234783,0,0.525253,0.806179,0.197674,0.512195,0.0061444,0.92
0.121212,0.333333,0.353268,0.00271377,0.4,0,0,0.5,0.727273,0.468635,0,0.826087,0,0.525253,0.810357,0.190197,0.340804,0.0049957,0.885
0.121212,0.333333,0.272601,0.00240787,0.4,0,0,0.5,0.545455,0.361624,0,0.93913,0,0.207071,0.338426,0.336379,0.406724,0.00442135,0.2925
0.0909091,0.333333,0.296245,0.00256233,0.4,0,0,0.5,0.636364,0.392989,0,0.895652,0,0.207071,0.338426,0.329732,0.503406,0.00470852,0.301
0.151515,0.433333,0.411683,0.00837271,0.4,0,1,0.75,0.636364,0.546125,0,0.591304,0,0.0353535,0.695033,0.334719,0.562733,0.0119384,0.951
0.121212,0.4,0.216968,0.005728,0.4,0,0,0.5,0.636364,0.287823,0,0.791304,0,0.292929,0.562976,0.307306,0.411118,0.00906439,0.43
0.0909091,0.3,0.258693,0.0125482,0,0,0.75,0.75,0.636364,0.239852,0.205882,0.513043,0,0.833333,0.446682,0.149503,0.477038,0.0209626,0.65
0.0909091,0.233333,0.13491,0.00477333,0,0,0,0.5,0.545455,0.178967,0,0.469565,0,0.742424,0.451505,0.152823,0.195781,0.00930332,0.289
0.0909091,0.233333,0.310014,0.004949,0.4,0,0,1,0.636364,0.411255,0,0.634783,0,0.833333,0.461476,0.145346,0.461657,0.0101649,0.505
0.0909091,0.233333,0.173853,0.000317414,0.8,0,0,0.5,0.636364,0.230627,0,0.991304,0,0.575758,0.83738,0.165281,0.259503,0.00280168,0.549
0.0909091,0.3,0.190542,0.00331952,0,0,0,0.5,0.545455,0.151292,0.202206,0.686957,0,0.611111,0.732511,0.184386,0.228741,0.00393889,0.425
0.0909091,0.366667,0.344923,0.00199232,0.2,0,0,1,0.545455,0.273063,0.367647,0.217391,0,0.722222,0.673637,0.178569,0.228741,0.003847,0.317625
0.121212,0.333333,0.337969,0.00637797,0.4,0,0,0.5,0.818182,0.448339,0,0.773913,0,0.0151515,0.684577,0.271592,0.51659,0.0119442,0.975
0.121212,0.333333,0.27121,0.00250055,0.4,0,0,0.5,0.545455,0.359779,0,0.913043,0,0,0.292585,0.217603,0.400352,0.00448682,0.287
0.0909091,0.133333,0.0987483,0.00699644,0,0,0,0.75,0.545455,0.130996,0,0.591304,0,0.207071,0.33167,0.3397,0.134256,0.013766,0.204
0.0909091,0.266667,0.13491,0.00308449,0,0,0,0.75,0.545455,0.178967,0,0.626087,0,0.166667,0.933407,0.28239,0.272687,0.00470278,0.325
0.121212,0.266667,0.342142,0.00441412,0.2,0,0,1,0.545455,0.361624,0.183824,0.13913,0,0.626263,0.902206,0.192687,0.244122,0.0082201,0.571
0.121212,0.333333,0.290682,0.00271377,0.4,0,0,0.5,0.636364,0.385609,0,0.913043,0,0.186869,0.329584,0.40116,0.444078,0.0049957,0.36
0.0909091,0.233333,0.208623,0.0302931,0,0,0,1,0.545455,0.147601,0.257353,0.565217,0,0.207071,0.313981,0.370433,0.338607,0.0572949,0.349
0.121212,0.533333,0.436718,0.0209481,0.4,0,0,0.75,0.818182,0.387454,0.382353,0.747826,0,0.373737,0.6857,0.44186,0.624258,0.0394797,0.8325
0.121212,0.233333,0.204451,0.004107,0,0,0,0.5,0.545455,0.108856,0.323529,0.486957,0,0.0353535,0.719804,0.327242,0.281477,0.00786745,0.38
0.0909091,0.133333,0.104312,0.00275012,0,0,0,0.5,0.545455,0.138376,0,0.356522,0,0.580808,0.655782,0.103821,0.107888,0.00506462,0.48
0.0909091,0.133333,0.155772,0.00275012,0,0,0,0.75,0.545455,0.114391,0.183824,0.486957,0,0.666667,0.886921,0.148672,0.160624,0.00579175,0.41
0.121212,0.333333,0.439499,0.0237231,0.4,0,0,0.5,0.818182,0.583026,0,0.886957,0,0.0454545,0.29934,0.410297,0.648429,0.044913,0.72
0.0909091,0.333333,0.286509,0.00277435,0.4,0,0,0.5,0.636364,0.380074,0,0.895652,0,0.186869,0.31414,0.424415,0.428697,0.00541268,0.39
0.121212,0.333333,0.223922,0.00325229,0.4,0,0,0.5,0.545455,0.297048,0,0.8,0,0.186869,0.3106,0.405317,0.323226,0.00660962,0.36
0.0606061,0.133333,0.240612,0.00375567,0,0,0,0.5,0.545455,0.132841,0.371324,0.417391,0,0.590909,0.629728,0.189367,0.290266,0.00697146,0.355
0.0909091,0.2,0.193324,0.00496233,0,0,0,0.5,0.636364,0.256458,0,0.556522,0,0.292929,0.52308,0.307306,0.318831,0.00935731,0.356
0.0909091,0.133333,0.093185,0.00370357,0,0,0,0.5,0.454545,0.123616,0,0.452174,0,0.626263,0.917644,0.173588,0.257306,0.00752629,0.315
0.0909091,0.2,0.257302,0.00186572,0.4,0,0,0.5,0.727273,0.297048,0.0882353,0.217391,0,0.59596,0.768541,0.127907,0.356185,0.00476596,0.94
0.151515,0.3,0.329624,0.00477333,0.2,0,0,1,0.545455,0.437269,0,0.530435,0,0.459596,0.21715,0.274083,0.261701,0.00863133,0.305
0.0909091,0.433333,0.344923,0.00348792,0.4,0,0,0.5,0.727273,0.311808,0.290441,0.921739,0,0.277778,0.590158,0.265782,0.329818,0.007694,0.461
0.0606061,0.3,0.183588,0.000920744,0.4,0,0,0.75,0.545455,0.243542,0,0.686957,0,0.277778,0.582439,0.269932,0.340804,0.00157831,0.215
0.0606061,0.233333,0.102921,0.000330741,0.4,0,0,0.5,0.545455,0.0876384,0.0974265,0.921739,0,0.681818,0.616855,0.109632,0.138651,0.000522659,0.335
0.121212,0.333333,0.235049,0.0041694,0.4,0,0,0.5,0.545455,0.311808,0,0.765217,0,0.111111,0.215217,0.12209,0.347396,0.00787894,0.2435
0.0909091,0.133333,0.126565,0.00604541,0,0,0,0.5,0.545455,0.167897,0,0.53913,0,0.111111,0.26717,0.139535,0.208965,0.0113136,0.153
0.0909091,0.2,0.179416,0.00271377,0,0,0,0.5,0.636364,0.184502,0.106618,0.33913,0,0.585859,0.854272,0.110462,0.257306,0.00442135,0.43
0.0909091,0.2,0.179416,0.00271377,0,0,0,0.5,0.636364,0.184502,0.106618,0.33913,0,0.585859,0.854272,0.110462,0.257306,0.00442135,0.7
0.121212,0.333333,0.418637,0.00589397,0,0,0,0.5,0.545455,0.387454,0.334559,0.4,0.988089,0.19697,0.693904,0.224251,0.340804,0.00619609,0.905
0.0909091,0.233333,0.232267,0.00918381,0,0,0,0.5,0.545455,0.308118,0,0.582609,0,0.156566,0.324436,0.200995,0.296858,0.0171903,0.2475
0.121212,0.2,0.121001,0.00356183,0,0,0,0.75,0.545455,0.160517,0,0.652174,0,0.111111,0.237576,0.117109,0.167216,0.00660388,0.199
0.0909091,0.233333,0.211405,0.0250055,0,0,0,1,0.545455,0.169742,0.220588,0.695652,0,0.186869,0.410167,0.465946,0.274885,0.154368,0.314
0.0909091,0.333333,0.282337,0.0220052,0.4,0,0.5,0.5,0.727273,0.374539,0,0.8,0,0.222222,0.527424,0.668608,0.472643,0.0395314,0.4375
0.0909091,0.333333,0.247566,0.00770578,0.2,0,0,1,0.727273,0.180812,0.294118,0.0869565,0,0.510101,0.781083,0.169432,0.395737,0.00442135,0.85083
0.0909091,0.266667,0.235049,0.00179182,0.2,0,0,0.75,0.545455,0.212177,0.198529,0.252174,0,0.585859,0.838994,0.12209,0.266095,0.00324738,0.555
0.0909091,0.3,0.264256,0.0648597,0.4,0,0,0.75,0.636364,0.350554,0,0.721739,0,0.383838,0.992766,0.364616,0.477038,0.0541337,0.69995
0.0909091,0.133333,0.127955,0.0202315,0,0,0,0.5,0.545455,0.169742,0,0.469565,0,0.287879,0.452953,0.27824,0.272687,0.0163793,0.29
0.0909091,0.333333,0.285118,0.00574556,0,0,0,0.75,0.636364,0.215867,0.323529,0.678261,0,0.287879,0.46196,0.320594,0.406724,0.00862789,0.375
