SalePrice,Id,MSSubClass,MSZon4ng,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
0.241077628,1,60,6,65,8450,1,0,0,0,0,0,0,5,2,2,0,3,7,5,2003,2003,1,1,14,14,1,196,1,2,2,1,2,3,0,706,5,0,150,856,1,0,1,0,856,854,0,1710,1,0,2,1,3,1,1,8,0,0,5,1,2003,1,2,548,2,2,0,0,61,0,0,0,0,4,4,0,0,2,2008,0,0
0.203582836,2,20,6,80,9600,1,0,0,0,0,1,0,24,1,2,0,0,6,8,1976,1976,1,1,8,8,3,0,2,2,1,1,2,0,1,978,5,0,284,1262,1,0,1,0,1262,0,0,1262,0,1,2,0,3,1,2,6,0,1,2,1,1976,1,2,460,2,2,0,298,0,0,0,0,0,4,4,0,0,5,2007,0,0
0.261908068,3,60,6,68,11250,1,0,1,0,0,0,0,5,2,2,0,3,7,5,2001,2002,1,1,14,14,1,162,1,2,2,1,2,2,0,486,5,0,434,920,1,0,1,0,920,866,0,1786,1,0,2,1,3,1,1,6,0,1,2,1,2001,1,2,608,2,2,0,0,42,0,0,0,0,4,4,0,0,9,2008,0,0
0.145951951,4,70,6,60,9550,1,0,1,0,0,2,0,6,2,2,0,3,7,5,1915,1970,1,1,15,16,3,0,2,2,0,2,1,3,1,216,5,0,540,756,1,1,1,0,961,756,0,1717,1,0,1,0,3,1,1,7,0,1,1,5,1998,2,3,642,2,2,0,0,35,272,0,0,0,4,4,0,0,2,2006,0,1
0.298708513,5,60,6,84,14260,1,0,1,0,0,1,0,13,2,2,0,3,8,5,2000,2000,1,1,14,14,1,350,1,2,2,1,2,1,0,655,5,0,490,1145,1,0,1,0,1145,1053,0,2198,1,0,2,1,4,1,1,9,0,1,2,1,2000,1,3,836,2,2,0,192,84,0,0,0,0,4,4,0,0,12,2008,0,0
0.150118039,6,50,6,85,14115,1,0,1,0,0,0,0,11,2,2,0,1,5,5,1993,1995,1,1,14,14,3,0,2,2,5,1,2,3,0,732,5,0,64,796,1,0,1,0,796,566,0,1362,1,0,1,1,1,1,2,5,0,0,5,1,1993,2,2,480,2,2,0,40,30,0,320,0,0,4,1,3,700,10,2009,0,0
0.377864186,7,20,6,75,10084,1,0,0,0,0,0,0,21,2,2,0,0,8,5,2004,2005,1,1,14,14,4,186,1,2,2,0,2,1,0,1369,5,0,317,1686,1,0,1,0,1694,0,0,1694,1,0,2,0,3,1,1,7,0,1,1,1,2004,1,2,636,2,2,0,255,57,0,0,0,0,4,4,0,0,8,2007,0,0
0.229273712,8,60,6,0,10382,1,0,1,0,0,2,0,16,4,2,0,3,7,6,1973,1973,1,1,6,6,4,240,2,2,1,1,2,2,1,859,2,32,216,1107,1,0,1,0,1107,983,0,2090,1,0,2,1,3,1,2,7,0,2,2,1,1973,1,2,484,2,2,0,235,204,228,0,0,0,4,4,3,350,11,2009,0,0
0.131926121,9,50,8,51,6120,1,0,0,0,0,0,0,17,0,2,0,1,7,5,1931,1950,1,1,3,16,3,0,2,2,0,2,2,3,5,0,5,0,952,952,1,1,1,2,1022,752,0,1774,0,0,2,0,2,2,2,8,1,2,2,5,1931,2,2,468,3,2,0,90,0,205,0,0,0,4,4,0,0,4,2008,0,1
0.115400639,10,190,6,50,7420,1,0,0,0,0,2,0,3,0,0,1,2,5,6,1939,1950,1,1,8,8,3,0,2,2,0,2,2,3,0,851,5,0,140,991,1,0,1,0,1077,0,0,1077,1,0,1,0,2,2,2,5,0,2,2,1,1939,1,1,205,1,2,0,0,4,0,0,0,0,4,4,0,0,1,2008,0,0
