PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,LATITUDE,LONGITUDE,PRICE
Condo/Co-op,11380 84th Ave #6,Allendale Charter Township,MI,49401,,,,,,,,42.9753306,-85.9939525,370000
Single Family Residential,12377 60th Ave,Allendale Charter Township,MI,49401,,,,71003,,,,42.993808,-85.93555,15000
Single Family Residential,10897 52nd Ave,Allendale,MI,49401,3,3,2253,32670,2014,161,,42.9672118,-85.9141968,237900
Single Family Residential,7787 Hawkin St,Allendale,MI,49401,4,2.5,2032,13068,2016,38,38,42.966059,-85.978345,276900
Condo/Co-op,6151 Charleston Ln,Allendale,MI,49401,2,1.5,1505,,2016,10,190,42.975259,-85.921332,205000
Single Family Residential,12590 64th Ave,Allendale Charter Township,MI,49401,,,,217800,,,,42.9976773,-85.945005,89900
Single Family Residential,5948 Farmview,Allendale,MI,49401,2,2,1380,6506,2016,155,8,42.975209,-85.920925,233304
Single Family Residential,5967 Farmview,Allendale,MI,49401,3,2,1354,7501,2016,266,100,42.981879,-85.932772,205000
Multi-Family (5+ Unit),6550 Winans St,Allendale,MI,49401,,,,321908,,212,,42.965549,-85.947226,1700000
Condo/Co-op,6122 Charleston Ln NW,Allendale,MI,49401,2,1.5,1488,,2016,196,175,42.975209,-85.920925,278900
Single Family Residential,6309 Warner St,Allendale,MI,49401,3,2,1456,181645,1994,190,,42.996049,-85.942468,183500
Single Family Residential,7060 Osborn St,Allendale,MI,49401,4,2.5,1804,251776,1988,171,,43.003032,-85.962284,255000
Condo/Co-op,11443 Wake Dr #1,Allendale,MI,49401,3,2.5,2347,,2016,205,169,42.976224,-85.990696,286900
Single Family Residential,0000 Cadence Ct,Allendale,MI,49401,4,2.5,2393,11672,2016,253,50,42.976771,-85.883922,255900
Single Family Residential,5919 Farmview,Allendale,MI,49401,3,1.5,1400,7501,2015,329,8,42.975209,-85.920925,189900
Single Family Residential,5918 Farmview,Allendale,MI,49401,4,2.5,1809,7865,2016,39,8,42.981896,-85.932576,227000
Condo/Co-op,5919 Farmview Dr #22,Allendale Charter Township,MI,49401,,,,,,,,42.9819486,-85.9317572,189900
Condo/Co-op,5909 Farmview Dr #21,Allendale Charter Township,MI,49401,,,,,,,,42.9819486,-85.9317572,206930
Condo/Co-op,5966 Farmview Dr #32,Allendale Charter Township,MI,49401,,,,,,,,42.9819486,-85.9317572,235000
Single Family Residential,5324 Crestfield Ln,Allendale,MI,49401,3,2,1274,10401,2016,199,,42.959789,-85.91701,199900
Single Family Residential,10485 Rockfield Rd,Allendale,MI,49401,3,2,1359,13808,2016,7,,42.959316,-85.915645,210000
Single Family Residential,11312 60th,Allendale,MI,49401,3,1,1232,34412,1960,359,,42.9741039,-85.933566,140000
Single Family Residential,7535 Waterline Dr,Allendale,MI,49401,4,2.5,2032,13225,2016,253,38,42.971278,-85.972156,256900
Single Family Residential,10498 Rockfield Rd,Allendale,MI,49401,3,2.5,1528,13068,2016,294,,42.959508,-85.914935,210750
Single Family Residential,5327 Crestfield Ln,Allendale,MI,49401,3,1,1235,11610,2016,213,,42.960323,-85.917073,184000
Condo/Co-op,7400 Watermark Dr,Allendale,MI,49401,2,1.5,1268,,2016,63,230,42.968352,-85.967902,197000
Single Family Residential,10994 68th Ave,Allendale Charter Township,MI,49401,,,,108900,,,,42.96813,-85.9532739,166000
Single Family Residential,4775 Bliss St,Allendale Charter Township,MI,49401,,,,,,,,42.990685,-85.904538,115100
Condo/Co-op,11419 Pebble Dr,Allendale Charter Township,MI,49401,,,,,,,,42.975429,-85.938564,15900
Single Family Residential,5898 Maple Bend Trl,Allendale,MI,49401,3,2,1426,30492,2001,168,,42.9636494,-85.9314548,198000
Single Family Residential,6681 Scott St,Allendale Charter Township,MI,49401,,,,,,,,42.97491,-85.9512,132000
Single Family Residential,11670 Brookridge Dr,Allendale,MI,49401,4,2,1928,10018,2013,294,100,42.980904,-85.931304,185250
Single Family Residential,10828 Black Cherry Dr,Allendale Charter Township,MI,49401,,,,,,,,42.965461,-85.957457,179200
Condo/Co-op,6287 Timber Dr #24,Allendale Charter Township,MI,49401,,,,,,,,42.966176,-85.9411609,162900
Single Family Residential,10798 Lance Ave,Allendale,MI,49401,3,1.5,1940,15160,2005,266,,42.965113,-85.919372,203000
Single Family Residential,11281 Prairie Ave,Allendale Charter Township,MI,49401,,,,,,,,42.973842,-85.931488,138000
Condo/Co-op,11355 River Ridge Dr #17,Allendale,MI,49401,2,2,1418,,1984,123,200,42.97535,-85.884286,115000
Single Family Residential,10678 White Birch Dr,Allendale,MI,49401,5,2,2404,22542,1989,39,,42.963037,-85.956684,224500
Condo/Co-op,7238 BARN OWL LN #62,ALLENDALE,MI,49401,,,,,,,,42.973358,-85.964884,206000
Single Family Residential,6211 Timber Dr,Allendale,MI,49401,3,2,1776,,2008,60,23,42.9663174,-85.9393834,175000
Single Family Residential,7675 Warner St,Allendale Charter Township,MI,49401,,,,,,,,42.995857,-85.976629,430000
Condo/Co-op,6232 Timber Dr #12,Allendale Charter Township,MI,49401,,,,,,,,42.965777,-85.939755,154000
Single Family Residential,12325 Joshua Ct,Allendale,MI,49401,4,3,3018,21780,2003,361,21,42.992813,-85.961215,277000
Single Family Residential,11001 68th,Allendale,MI,49401,4,3,2945,26136,1939,164,,42.9684,-85.954406,135000
Single Family Residential,6268 Winans,Allendale,MI,49401,4,2.5,2214,143312,1965,256,,42.965343,-85.940371,322000
Single Family Residential,11103 Waterpoint Dr,Allendale,MI,49401,4,2.5,2547,17748,2016,102,38,42.970453,-85.973547,315000
Condo/Co-op,6096 Pebble Dr #23,Allendale Charter Township,MI,49401,,,,,,,,42.974907,-85.9385439,165000
Single Family Residential,7222 Barn Owl,Allendale,MI,49401,3,2,1400,12502,2016,164,8,42.973355,-85.964308,225000
Single Family Residential,10890 Woodedge Dr,Allendale,MI,49401,2,2,1192,7840,2015,360,,42.966678,-85.912053,193000
Single Family Residential,11424 Prairie Ave,Allendale,MI,49401,4,2.5,2181,16552,1993,168,,42.976163,-85.930075,185000
Single Family Residential,11401 68th Ave,Allendale,MI,49401,3,2,1911,16552,1895,130,,42.9759677,-85.9544079,112000
Condo/Co-op,4687 Ottawa Creek Dr #31,Allendale Charter Township,MI,49401,,,,,,,,42.974543,-85.900197,134900
Single Family Residential,10914 Woodedge Ave,Allendale,MI,49401,4,3,1958,10086,2013,2,15,42.9671189,-85.912055,199900
Single Family Residential,11434 Cadence Ct,Allendale,MI,49401,3,2.5,2393,11850,2016,112,,42.976971,-85.883464,274935
Single Family Residential,11752 Danton Dr,Allendale Charter Township,MI,49401,,,,,,,,42.982232,-85.887911,6000
Single Family Residential,10989 Waterpoint Dr,Allendale,MI,49401,4,2.5,2038,13500,2013,91,33,42.968437,-85.973407,282000
Single Family Residential,9214 S Cedar Dr,Allendale Charter Township,MI,49401,,,,,,,,42.997359,-86.015033,86465
Single Family Residential,11628 Brookland Dr,Allendale,MI,49401,3,2,1768,12196,2003,239,8,42.980207,-85.93205,178000
Single Family Residential,6304 Timber Dr,Allendale,MI,49401,2,1,1090,8250,2005,260,23,42.965758,-85.941577,162900
Condo/Co-op,7410 Watermark Dr,Allendale,MI,49401,2,1.5,1412,,2014,340,235,42.968469,-85.967901,210000
Single Family Residential,7112 Barn Owl,Allendale,MI,49401,3,2,1508,13439,2016,81,,42.974949,-85.96216,234500
Single Family Residential,7124 Barn Owl,Allendale,MI,49401,4,2.5,1992,10549,2016,46,100,42.974741,-85.962184,245600
Condo/Co-op,11531 Wilmington Dr #12,Allendale Charter Township,MI,49401,,,,,,,,42.980308,-85.936584,241616
Single Family Residential,9175 Warner St,Allendale,MI,49401,3,1.5,1704,43560,1998,169,,42.994311,-86.01395,185000
Single Family Residential,11027 60th Ave,Allendale,MI,49401,4,2.5,1715,20998,1994,213,,42.968266,-85.934554,189750
Single Family Residential,11045 Waterpoint Dr,Allendale,MI,49401,4,2.5,2446,13604,2016,59,39,42.969422,-85.973471,360000
Condo/Co-op,6139 Pebble Dr #43,Allendale Charter Township,MI,49401,,,,,,,,42.975141,-85.938152,135000
Condo/Co-op,7557 Watermark Dr,Allendale,MI,49401,2,1.5,1268,,2015,151,235,42.9690338,-85.9674313,253950
Single Family Residential,7205 Barn Owl Ln,Allendale,MI,49401,3,2,1548,9306,2016,184,8,42.973977,-85.964249,217000
Single Family Residential,5927 Lake Michigan Dr,Allendale Charter Township,MI,49401,,,,,,,,42.973081,-85.932311,110000
Single Family Residential,7217 Barn Owl,Allendale,MI,49401,3,2.5,2086,9710,2016,109,100,42.973887,-85.964503,248000
